Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           -8.296       -8.296        0.000     0.0
0.0010           -8.274       -8.296        0.022     1.3
0.0020           -8.256       -8.296        0.039     2.4
0.0030           -8.240       -8.296        0.056     3.4
0.0040           -8.225       -8.296        0.070     4.2
0.0050           -8.209       -8.296        0.087     5.3
0.0060           -8.188       -8.296        0.108     6.5
0.0070           -8.169       -8.296        0.127     7.7
0.0080           -8.151       -8.296        0.145     8.7
0.0090           -8.130       -8.296        0.165    10.0
0.0100           -8.120       -8.296        0.176    10.6
0.0110           -8.097       -8.296        0.199    12.0
0.0120           -8.083       -8.296        0.213    12.9
0.0130           -8.063       -8.296        0.233    14.1
0.0140           -8.031       -8.297        0.266    16.1
0.0150           -8.007       -8.297        0.290    17.5
0.0160           -7.984       -8.297        0.313    18.9
0.0170           -7.955       -8.297        0.342    20.7
0.0180           -7.945       -8.298        0.352    21.3
0.0190           -7.946       -8.298        0.352    21.3
0.0200           -7.915       -8.299        0.383    23.2
0.0210           -7.889       -8.299        0.410    24.8
0.0220           -7.868       -8.300        0.432    26.1
0.0230           -7.866       -8.300        0.434    26.2
0.0240           -7.844       -8.301        0.457    27.6
0.0250           -7.826       -8.302        0.476    28.8
0.0260           -7.808       -8.303        0.494    29.9
0.0270           -7.785       -8.303        0.518    31.3
0.0280           -7.757       -8.304        0.547    33.1
0.0290           -7.751       -8.305        0.555    33.5
0.0300           -7.720       -8.306        0.586    35.4
0.0310           -7.717       -8.307        0.590    35.7
0.0320           -7.701       -8.309        0.608    36.7
0.0330           -7.675       -8.310        0.635    38.4
0.0340           -7.639       -8.311        0.672    40.6
0.0350           -7.639       -8.313        0.673    40.7
0.0360           -7.625       -8.314        0.689    41.7
0.0370           -7.599       -8.316        0.716    43.3
0.0380           -7.582       -8.318        0.736    44.5
0.0390           -7.553       -8.319        0.766    46.3
0.0400           -7.534       -8.321        0.787    47.6
0.0410           -7.531       -8.323        0.793    47.9
0.0420           -7.522       -8.325        0.804    48.6
0.0430           -7.498       -8.328        0.830    50.2
0.0440           -7.483       -8.330        0.847    51.2
0.0450           -7.487       -8.332        0.845    51.1
0.0460           -7.498       -8.335        0.837    50.6
0.0470           -7.500       -8.337        0.837    50.6
0.0480           -7.484       -8.340        0.856    51.7
0.0490           -7.473       -8.343        0.869    52.5
0.0500           -7.452       -8.346        0.894    54.0
0.0510           -7.433       -8.349        0.915    55.3
0.0520           -7.411       -8.352        0.941    56.9
0.0530           -7.390       -8.355        0.965    58.3
0.0540           -7.388       -8.358        0.971    58.7
0.0550           -7.382       -8.362        0.980    59.2
0.0560           -7.365       -8.365        1.000    60.4
0.0570           -7.332       -8.369        1.037    62.7
0.0580           -7.338       -8.373        1.035    62.6
0.0590           -7.337       -8.377        1.040    62.8
0.0600           -7.303       -8.381        1.078    65.2
0.0610           -7.307       -8.385        1.079    65.2
0.0620           -7.291       -8.390        1.099    66.4
0.0630           -7.275       -8.394        1.119    67.7
0.0640           -7.232       -8.399        1.168    70.6
0.0650           -7.238       -8.404        1.166    70.5
0.0660           -7.259       -8.409        1.150    69.5
0.0670           -7.248       -8.414        1.167    70.5
0.0680           -7.236       -8.419        1.183    71.5
0.0690           -7.207       -8.425        1.218    73.6
0.0700           -7.175       -8.431        1.255    75.9
0.0710           -7.161       -8.436        1.275    77.1
0.0720           -7.148       -8.442        1.294    78.2
0.0730           -7.097       -8.449        1.352    81.7
0.0740           -7.067       -8.455        1.388    83.9
0.0750           -7.047       -8.462        1.415    85.5
0.0760           -7.075       -8.469        1.394    84.2
0.0770           -7.058       -8.476        1.418    85.7
0.0780           -7.055       -8.483        1.428    86.3
0.0790           -7.013       -8.491        1.477    89.3
0.0800           -7.047       -8.499        1.451    87.7
0.0810           -7.050       -8.506        1.457    88.1
0.0820           -7.037       -8.515        1.477    89.3
0.0830           -7.045       -8.523        1.478    89.3
0.0840           -7.031       -8.531        1.501    90.7
0.0850           -7.017       -8.540        1.524    92.1
0.0860           -6.983       -8.549        1.566    94.6
0.0870           -6.961       -8.559        1.598    96.6
0.0880           -6.941       -8.569        1.627    98.4
0.0890           -6.944       -8.579        1.635    98.8
0.0900           -6.921       -8.589        1.668   100.8
0.0910           -6.885       -8.600        1.715   103.6
0.0920           -6.877       -8.611        1.734   104.8
0.0930           -6.843       -8.623        1.779   107.5
0.0940           -6.829       -8.635        1.806   109.2
0.0950           -6.808       -8.647        1.839   111.1
0.0960           -6.804       -8.660        1.856   112.2
0.0970           -6.808       -8.673        1.865   112.7
0.0980           -6.784       -8.686        1.902   115.0
0.0990           -6.747       -8.700        1.953   118.0
0.1000           -6.702       -8.715        2.013   121.6
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           -6.702       -8.715        2.013   121.6
0.0010           -6.691       -8.729        2.038   123.2
0.0020           -6.649       -8.745        2.096   126.7
0.0030           -6.650       -8.761        2.111   127.6
0.0040           -6.636       -8.777        2.141   129.4
0.0050           -6.641       -8.794        2.153   130.2
0.0060           -6.628       -8.811        2.183   132.0
0.0070           -6.627       -8.829        2.202   133.1
0.0080           -6.618       -8.847        2.230   134.8
0.0090           -6.602       -8.866        2.264   136.8
0.0100           -6.614       -8.886        2.271   137.3
0.0110           -6.662       -8.906        2.244   135.6
0.0120           -6.657       -8.926        2.269   137.1
0.0130           -6.674       -8.946        2.273   137.4
0.0140           -6.648       -8.968        2.319   140.2
0.0150           -6.675       -8.989        2.315   139.9
0.0160           -6.665       -9.012        2.346   141.8
0.0170           -6.624       -9.035        2.411   145.7
0.0180           -6.620       -9.059        2.439   147.4
0.0190           -6.608       -9.083        2.475   149.6
0.0200           -6.611       -9.108        2.497   150.9
0.0210           -6.632       -9.133        2.502   151.2
0.0220           -6.643       -9.159        2.517   152.1
0.0230           -6.638       -9.186        2.548   154.0
0.0240           -6.644       -9.214        2.570   155.3
0.0250           -6.659       -9.242        2.583   156.1
0.0260           -6.649       -9.270        2.622   158.5
0.0270           -6.689       -9.300        2.611   157.8
0.0280           -6.656       -9.330        2.674   161.6
0.0290           -6.674       -9.361        2.687   162.4
0.0300           -6.662       -9.393        2.730   165.0
0.0310           -6.648       -9.426        2.777   167.9
0.0320           -6.636       -9.459        2.824   170.7
0.0330           -6.599       -9.494        2.895   175.0
0.0340           -6.558       -9.531        2.973   179.7
0.0350           -6.568       -9.568        2.999   181.3
0.0360           -6.540       -9.606        3.066   185.3
0.0370           -6.515       -9.645        3.130   189.2
0.0380           -6.519       -9.685        3.166   191.4
0.0390           -6.524       -9.727        3.203   193.6
0.0400           -6.536       -9.770        3.233   195.4
0.0410           -6.509       -9.814        3.305   199.7
0.0420           -6.513       -9.859        3.346   202.2
0.0430           -6.533       -9.905        3.372   203.8
0.0440           -6.525       -9.953        3.428   207.2
0.0450           -6.538      -10.003        3.465   209.4
0.0460           -6.495      -10.054        3.559   215.1
0.0470           -6.471      -10.107        3.636   219.8
0.0480           -6.424      -10.161        3.737   225.9
0.0490           -6.367      -10.218        3.851   232.8
0.0500           -6.361      -10.276        3.916   236.7
0.0510           -6.366      -10.337        3.971   240.0
0.0520           -6.400      -10.399        3.999   241.7
0.0530           -6.401      -10.463        4.062   245.5
0.0540           -6.442      -10.530        4.088   247.1
0.0550           -6.442      -10.598        4.155   251.2
0.0560           -6.457      -10.668        4.211   254.5
0.0570           -6.495      -10.741        4.247   256.7
0.0580           -6.507      -10.816        4.309   260.5
0.0590           -6.487      -10.894        4.407   266.4
0.0600           -6.489      -10.974        4.485   271.1
0.0610           -6.518      -11.057        4.539   274.4
0.0620           -6.521      -11.143        4.622   279.4
0.0630           -6.548      -11.231        4.683   283.0
0.0640           -6.545      -11.323        4.778   288.8
0.0650           -6.548      -11.418        4.870   294.3
0.0660           -6.585      -11.516        4.931   298.0
0.0670           -6.571      -11.618        5.047   305.1
0.0680           -6.538      -11.724        5.186   313.4
0.0690           -6.492      -11.835        5.343   322.9
0.0700           -6.507      -11.951        5.444   329.1
0.0710           -6.467      -12.072        5.605   338.8
0.0720           -6.417      -12.199        5.781   349.4
0.0730           -6.450      -12.331        5.882   355.5
0.0740           -6.442      -12.470        6.028   364.3
0.0750           -6.420      -12.616        6.196   374.5
0.0760           -6.477      -12.768        6.290   380.2
0.0770           -6.395      -12.928        6.533   394.9
0.0780           -6.383      -13.096        6.713   405.7
0.0790           -6.361      -13.272        6.910   417.7
0.0800           -6.310      -13.458        7.148   432.0
0.0810           -6.384      -13.654        7.270   439.4
0.0820           -6.392      -13.860        7.468   451.4
0.0830           -6.443      -14.079        7.636   461.5
0.0840           -6.471      -14.309        7.838   473.7
0.0850           -6.526      -14.553        8.026   485.1
0.0860           -6.545      -14.810        8.265   499.5
0.0870           -6.546      -15.082        8.536   515.9
0.0880           -6.551      -15.370        8.819   533.0
0.0890           -6.597      -15.674        9.077   548.6
0.0900           -6.685      -15.991        9.306   562.5
0.0910           -6.706      -16.320        9.614   581.1
0.0920           -6.707      -16.654        9.947   601.2
0.0930           -6.681      -16.986       10.304   622.8
0.0940           -6.680      -17.299       10.620   641.8
0.0950           -6.736      -17.573       10.836   654.9
0.0960           -6.743      -17.787       11.044   667.5
0.0970           -6.774      -17.942       11.167   675.0
0.0980           -6.802      -18.077       11.275   681.5
0.0990           -6.839      -18.286       11.447   691.9
0.1000           -6.925      -18.658       11.732   709.1
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           -6.484       -6.484        0.000     0.0
0.0010           -6.466       -6.484        0.018     1.1
0.0020           -6.444       -6.484        0.040     2.4
0.0030           -6.421       -6.484        0.063     3.8
0.0040           -6.403       -6.484        0.081     4.9
0.0050           -6.375       -6.484        0.109     6.6
0.0060           -6.343       -6.484        0.141     8.5
0.0070           -6.318       -6.484        0.166    10.0
0.0080           -6.306       -6.484        0.178    10.8
0.0090           -6.279       -6.484        0.205    12.4
0.0100           -6.260       -6.484        0.224    13.6
0.0110           -6.236       -6.484        0.248    15.0
0.0120           -6.222       -6.484        0.262    15.9
0.0130           -6.211       -6.485        0.273    16.5
0.0140           -6.206       -6.485        0.279    16.8
0.0150           -6.187       -6.485        0.298    18.0
0.0160           -6.178       -6.485        0.308    18.6
0.0170           -6.174       -6.486        0.312    18.9
0.0180           -6.159       -6.486        0.327    19.8
0.0190           -6.146       -6.486        0.340    20.5
0.0200           -6.125       -6.487        0.361    21.8
0.0210           -6.096       -6.487        0.391    23.6
0.0220           -6.077       -6.487        0.411    24.8
0.0230           -6.035       -6.488        0.452    27.3
0.0240           -6.013       -6.488        0.475    28.7
0.0250           -6.007       -6.489        0.482    29.1
0.0260           -5.985       -6.489        0.504    30.5
0.0270           -5.978       -6.490        0.512    30.9
0.0280           -5.951       -6.491        0.539    32.6
0.0290           -5.931       -6.491        0.560    33.9
0.0300           -5.897       -6.492        0.595    36.0
0.0310           -5.856       -6.493        0.637    38.5
0.0320           -5.824       -6.494        0.670    40.5
0.0330           -5.810       -6.495        0.684    41.4
0.0340           -5.775       -6.496        0.721    43.6
0.0350           -5.751       -6.497        0.746    45.1
0.0360           -5.740       -6.498        0.758    45.8
0.0370           -5.708       -6.499        0.792    47.9
0.0380           -5.698       -6.501        0.803    48.5
0.0390           -5.677       -6.502        0.825    49.9
0.0400           -5.677       -6.504        0.827    50.0
0.0410           -5.647       -6.505        0.858    51.9
0.0420           -5.641       -6.507        0.866    52.3
0.0430           -5.609       -6.508        0.900    54.4
0.0440           -5.587       -6.510        0.923    55.8
0.0450           -5.560       -6.512        0.952    57.5
0.0460           -5.539       -6.514        0.975    58.9
0.0470           -5.516       -6.516        1.000    60.4
0.0480           -5.503       -6.518        1.015    61.4
0.0490           -5.518       -6.521        1.002    60.6
0.0500           -5.506       -6.523        1.017    61.5
0.0510           -5.477       -6.525        1.048    63.4
0.0520           -5.476       -6.528        1.052    63.6
0.0530           -5.461       -6.531        1.070    64.6
0.0540           -5.475       -6.533        1.059    64.0
0.0550           -5.444       -6.536        1.092    66.0
0.0560           -5.439       -6.539        1.101    66.5
0.0570           -5.418       -6.542        1.124    67.9
0.0580           -5.385       -6.546        1.161    70.2
0.0590           -5.393       -6.549        1.156    69.9
0.0600           -5.384       -6.552        1.168    70.6
0.0610           -5.383       -6.556        1.173    70.9
0.0620           -5.355       -6.560        1.204    72.8
0.0630           -5.349       -6.563        1.214    73.4
0.0640           -5.328       -6.567        1.239    74.9
0.0650           -5.323       -6.571        1.248    75.4
0.0660           -5.311       -6.575        1.264    76.4
0.0670           -5.313       -6.579        1.267    76.5
0.0680           -5.285       -6.584        1.299    78.5
0.0690           -5.267       -6.588        1.322    79.9
0.0700           -5.251       -6.593        1.342    81.1
0.0710           -5.232       -6.598        1.366    82.6
0.0720           -5.214       -6.603        1.389    84.0
0.0730           -5.212       -6.608        1.396    84.4
0.0740           -5.215       -6.614        1.398    84.5
0.0750           -5.190       -6.619        1.429    86.4
0.0760           -5.150       -6.625        1.475    89.2
0.0770           -5.137       -6.631        1.494    90.3
0.0780           -5.126       -6.637        1.511    91.3
0.0790           -5.145       -6.643        1.499    90.6
0.0800           -5.122       -6.650        1.528    92.4
0.0810           -5.108       -6.657        1.548    93.6
0.0820           -5.087       -6.663        1.577    95.3
0.0830           -5.095       -6.671        1.575    95.2
0.0840           -5.082       -6.678        1.596    96.5
0.0850           -5.086       -6.686        1.600    96.7
0.0860           -5.072       -6.693        1.621    98.0
0.0870           -5.059       -6.701        1.642    99.3
0.0880           -5.057       -6.709        1.652    99.9
0.0890           -5.060       -6.718        1.658   100.2
0.0900           -5.053       -6.726        1.674   101.1
0.0910           -5.027       -6.735        1.708   103.2
0.0920           -5.025       -6.743        1.718   103.8
0.0930           -5.005       -6.752        1.748   105.6
0.0940           -4.996       -6.761        1.765   106.7
0.0950           -4.992       -6.771        1.779   107.5
0.0960           -4.955       -6.780        1.825   110.3
0.0970           -4.950       -6.790        1.840   111.2
0.0980           -4.941       -6.800        1.859   112.4
0.0990           -4.939       -6.811        1.872   113.1
0.1000           -4.889       -6.821        1.933   116.8
0.1010           -4.897       -6.832        1.936   117.0
0.1020           -4.861       -6.843        1.982   119.8
0.1030           -4.850       -6.855        2.005   121.2
0.1040           -4.834       -6.866        2.032   122.8
0.1050           -4.837       -6.878        2.041   123.4
0.1060           -4.878       -6.890        2.012   121.6
0.1070           -4.822       -6.902        2.080   125.7
0.1080           -4.831       -6.915        2.083   125.9
0.1090           -4.806       -6.928        2.121   128.2
0.1100           -4.801       -6.941        2.140   129.4
0.1110           -4.787       -6.955        2.167   131.0
0.1120           -4.790       -6.969        2.178   131.7
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           -6.484       -6.484        0.000     0.0
0.0010           -6.463       -6.484        0.021     1.2
0.0020           -6.443       -6.484        0.041     2.5
0.0030           -6.420       -6.484        0.064     3.9
0.0040           -6.405       -6.484        0.078     4.7
0.0050           -6.391       -6.484        0.092     5.6
0.0060           -6.366       -6.484        0.118     7.1
0.0070           -6.342       -6.484        0.142     8.6
0.0080           -6.327       -6.484        0.157     9.5
0.0090           -6.309       -6.484        0.176    10.6
0.0100           -6.284       -6.484        0.200    12.1
0.0110           -6.261       -6.484        0.223    13.5
0.0120           -6.235       -6.484        0.249    15.0
0.0130           -6.222       -6.485        0.263    15.9
0.0140           -6.205       -6.485        0.280    16.9
0.0150           -6.184       -6.485        0.301    18.2
0.0160           -6.172       -6.485        0.314    19.0
0.0170           -6.151       -6.486        0.334    20.2
0.0180           -6.131       -6.486        0.355    21.4
0.0190           -6.109       -6.486        0.377    22.8
0.0200           -6.102       -6.487        0.385    23.3
0.0210           -6.085       -6.487        0.402    24.3
0.0220           -6.073       -6.487        0.414    25.1
0.0230           -6.037       -6.488        0.451    27.3
0.0240           -6.019       -6.488        0.470    28.4
0.0250           -6.010       -6.489        0.479    29.0
0.0260           -6.000       -6.490        0.490    29.6
0.0270           -5.987       -6.490        0.503    30.4
0.0280           -5.983       -6.491        0.508    30.7
0.0290           -5.965       -6.492        0.527    31.8
0.0300           -5.956       -6.493        0.537    32.4
0.0310           -5.925       -6.493        0.569    34.4
0.0320           -5.914       -6.494        0.580    35.1
0.0330           -5.890       -6.495        0.606    36.6
0.0340           -5.883       -6.496        0.613    37.0
0.0350           -5.881       -6.497        0.617    37.3
0.0360           -5.876       -6.498        0.622    37.6
0.0370           -5.863       -6.500        0.636    38.4
0.0380           -5.826       -6.501        0.675    40.8
0.0390           -5.792       -6.502        0.710    42.9
0.0400           -5.781       -6.503        0.722    43.7
0.0410           -5.753       -6.505        0.751    45.4
0.0420           -5.745       -6.506        0.762    46.0
0.0430           -5.740       -6.508        0.767    46.4
0.0440           -5.703       -6.509        0.807    48.8
0.0450           -5.693       -6.511        0.818    49.4
0.0460           -5.676       -6.513        0.836    50.5
0.0470           -5.655       -6.515        0.860    52.0
0.0480           -5.634       -6.517        0.883    53.4
0.0490           -5.636       -6.519        0.883    53.4
0.0500           -5.622       -6.521        0.899    54.3
0.0510           -5.586       -6.523        0.937    56.6
0.0520           -5.589       -6.525        0.936    56.6
0.0530           -5.553       -6.528        0.975    58.9
0.0540           -5.498       -6.530        1.032    62.4
0.0550           -5.488       -6.533        1.046    63.2
0.0560           -5.496       -6.536        1.040    62.8
0.0570           -5.474       -6.539        1.064    64.3
0.0580           -5.466       -6.542        1.076    65.0
0.0590           -5.443       -6.545        1.102    66.6
0.0600           -5.424       -6.548        1.124    67.9
0.0610           -5.408       -6.551        1.144    69.1
0.0620           -5.404       -6.555        1.151    69.6
0.0630           -5.396       -6.558        1.162    70.2
0.0640           -5.404       -6.562        1.158    70.0
0.0650           -5.402       -6.566        1.164    70.3
0.0660           -5.395       -6.570        1.175    71.0
0.0670           -5.375       -6.574        1.198    72.4
0.0680           -5.390       -6.578        1.187    71.8
0.0690           -5.361       -6.582        1.222    73.8
0.0700           -5.320       -6.587        1.267    76.6
0.0710           -5.285       -6.591        1.307    79.0
0.0720           -5.281       -6.596        1.316    79.5
0.0730           -5.302       -6.602        1.299    78.5
0.0740           -5.253       -6.607        1.354    81.8
0.0750           -5.240       -6.612        1.373    83.0
0.0760           -5.248       -6.618        1.370    82.8
0.0770           -5.261       -6.624        1.363    82.4
0.0780           -5.268       -6.630        1.362    82.3
0.0790           -5.247       -6.636        1.388    83.9
0.0800           -5.238       -6.642        1.405    84.9
0.0810           -5.227       -6.649        1.422    85.9
0.0820           -5.195       -6.656        1.461    88.3
0.0830           -5.195       -6.663        1.468    88.7
0.0840           -5.177       -6.670        1.493    90.2
0.0850           -5.145       -6.678        1.533    92.6
0.0860           -5.114       -6.686        1.572    95.0
0.0870           -5.123       -6.694        1.571    94.9
0.0880           -5.108       -6.702        1.594    96.3
0.0890           -5.096       -6.711        1.614    97.6
0.0900           -5.079       -6.719        1.640    99.1
0.0910           -5.076       -6.728        1.652    99.9
0.0920           -5.071       -6.738        1.666   100.7
0.0930           -5.049       -6.747        1.698   102.7
0.0940           -5.090       -6.757        1.667   100.7
0.0950           -5.076       -6.767        1.690   102.2
0.0960           -5.058       -6.777        1.719   103.9
0.0970           -5.053       -6.787        1.734   104.8
0.0980           -5.040       -6.798        1.758   106.3
0.0990           -5.025       -6.809        1.784   107.8
0.1000           -5.024       -6.820        1.796   108.6
0.1010           -5.011       -6.832        1.821   110.1
0.1020           -4.995       -6.844        1.849   111.8
0.1030           -4.968       -6.856        1.888   114.1
0.1040           -4.952       -6.869        1.917   115.9
0.1050           -4.926       -6.882        1.956   118.2
0.1060           -4.925       -6.896        1.970   119.1
0.1070           -4.933       -6.910        1.976   119.4
0.1080           -4.921       -6.924        2.003   121.1
0.1090           -4.915       -6.938        2.024   122.3
0.1100           -4.911       -6.953        2.042   123.4
0.1110           -4.914       -6.968        2.055   124.2
0.1120           -4.877       -6.984        2.107   127.3
0.1130           -4.845       -7.000        2.155   130.3
0.1140           -4.836       -7.017        2.181   131.8
0.1150           -4.817       -7.034        2.218   134.0
0.1160           -4.811       -7.052        2.240   135.4
0.1170           -4.810       -7.070        2.259   136.6
0.1180           -4.796       -7.088        2.292   138.5
0.1190           -4.767       -7.107        2.341   141.5
0.1200           -4.773       -7.127        2.354   142.3
0.1210           -4.780       -7.147        2.367   143.1
0.1220           -4.747       -7.167        2.420   146.3
0.1230           -4.705       -7.189        2.483   150.1
0.1240            7.610       -7.212       14.823   895.9
0.1250            7.480       -7.239       14.719   889.6
0.1260            7.494       -7.268       14.762   892.2
0.1270            7.515       -7.298       14.813   895.3
0.1280            7.425       -7.330       14.755   891.8
0.1290            7.381       -7.363       14.744   891.2
0.1300            7.260       -7.399       14.659   886.0
0.1310            7.117       -7.436       14.553   879.6
0.1320            7.051       -7.476       14.526   878.0
0.1330            7.170       -7.518       14.689   887.8
0.1340            7.037       -7.563       14.600   882.4
0.1350            6.967       -7.611       14.578   881.1
0.1360            6.969       -7.661       14.630   884.2
0.1370            6.975       -7.715       14.690   887.9
0.1380            6.916       -7.773       14.690   887.8
0.1390            6.934       -7.837       14.771   892.8
0.1400            6.878       -7.908       14.786   893.7
0.1410            6.841       -7.988       14.829   896.3
0.1420            6.792       -8.079       14.870   898.8
0.1430            6.845       -8.184       15.029   908.3
0.1440            6.788       -8.307       15.095   912.4
0.1450            6.766       -8.452       15.219   919.8
0.1460            6.717       -8.621       15.338   927.0
0.1470            6.660       -8.808       15.468   934.9
0.1480            6.674       -8.987       15.661   946.5
0.1490            6.729       -9.069       15.798   954.8
0.1500            6.529       -8.811       15.340   927.2
0.1510            6.493       -7.688       14.181   857.1
0.1520            6.557       -5.269       11.827   714.8
0.1530            6.748       -3.387       10.135   612.5
0.1540            6.499       -5.024       11.523   696.5
0.1550        31749.147    31646.181      102.966  6223.3
0.1560           95.191       -1.824       97.015  5863.6
0.1570           95.571        0.446       95.125  5749.4
0.1580           94.102       -6.345      100.447  6071.1
0.1590           93.977       -9.296      103.273  6241.9
0.1600           94.018       -9.722      103.739  6270.0
0.1610           93.663       -9.624      103.287  6242.7
0.1620           93.006       -9.553      102.559  6198.7
0.1630           92.762       -9.601      102.363  6186.9
0.1640           92.291       -9.772      102.062  6168.7
0.1650           92.186      -10.049      102.235  6179.1
0.1660           91.899      -10.381      102.280  6181.8
0.1670           91.536      -10.633      102.170  6175.2
0.1680           91.156      -10.550      101.706  6147.1
0.1690           90.878       -9.939      100.817  6093.4
0.1700           90.678       -9.251       99.930  6039.8
0.1710           90.225       -8.949       99.174  5994.1
0.1720           89.995       -7.548       97.543  5895.6
0.1730           89.838       -6.226       96.064  5806.1
0.1740           89.018       -9.037       98.055  5926.4
0.1750           88.668      -11.791      100.459  6071.7
0.1760           88.424      -12.635      101.059  6108.0
0.1770           88.279      -12.677      100.957  6101.8
0.1780           87.819      -12.643      100.463  6072.0
0.1790           87.499      -12.729      100.228  6057.8
0.1800           87.025      -12.718       99.742  6028.5
0.1810           86.652      -11.477       98.128  5930.9
0.1820           86.452       -6.207       92.659  5600.3
0.1830           87.177       -1.481       88.658  5358.5
0.1840           85.361       -8.225       93.586  5656.4
0.1850           85.364      -12.236       97.600  5899.0
0.1860           85.055      -13.091       98.146  5931.9
0.1870           84.748      -13.187       97.935  5919.2
0.1880           84.599      -13.234       97.833  5913.0
0.1890           84.191      -13.231       97.422  5888.2
0.1900           83.920      -12.787       96.707  5845.0
0.1910           83.686      -11.306       94.992  5741.3
0.1920           83.627       -9.399       93.026  5622.5
0.1930           83.291      -10.017       93.308  5639.6
0.1940           82.730      -12.612       95.342  5762.5
0.1950           82.205      -14.424       96.629  5840.3
0.1960           81.897      -15.257       97.154  5872.0
0.1970           81.622      -15.675       97.298  5880.7
0.1980           81.329      -15.968       97.297  5880.7
0.1990           80.993      -16.184       97.177  5873.4
0.2000           80.625      -16.270       96.895  5856.4
0.2010           80.483      -16.191       96.674  5843.0
0.2020           80.419      -16.054       96.473  5830.8
0.2030           79.894      -16.121       96.016  5803.2
0.2040           79.431      -16.526       95.957  5799.7
0.2050           79.065      -17.150       96.215  5815.3
0.2060           78.506      -17.812       96.318  5821.5
0.2070           81.287      -14.454       95.740  5786.6
0.2080           78.896      -15.818       94.714  5724.5
0.2090           79.799      -12.618       92.418  5585.7
0.2100          156.959       73.462       83.496  5046.5
0.2110          351.284      278.356       72.928  4407.8
0.2120          450.725      381.719       69.007  4170.8
0.2130          487.794      413.488       74.307  4491.1
0.2140          514.705      426.528       88.177  5329.4
0.2150          551.347      441.038      110.309  6667.1
0.2160          761.477      615.552      145.926  8819.8
0.2170          122.643      -22.577      145.220  8777.1
0.2180          122.113      -22.472      144.586  8738.8
0.2190          121.548      -22.407      143.956  8700.7
0.2200          121.175      -22.613      143.788  8690.6
0.2210          120.782      -23.224      144.006  8703.8
0.2220          120.459      -24.153      144.612  8740.4
0.2230          120.285      -25.074      145.359  8785.5
0.2240          119.666      -25.592      145.258  8779.4
0.2250          119.045      -25.361      144.406  8728.0
0.2260          118.712      -24.220      142.932  8638.8
0.2270          118.335      -22.789      141.124  8529.6
0.2280          117.919      -22.840      140.758  8507.5
0.2290          117.093      -24.699      141.792  8570.0
0.2300          116.393      -26.616      143.009  8643.5
0.2310          115.840      -27.782      143.621  8680.5
0.2320          115.329      -28.353      143.682  8684.1
0.2330          115.001      -28.479      143.480  8672.0
0.2340          114.676      -28.095      142.772  8629.2
0.2350          114.228      -27.312      141.540  8554.7
0.2360          113.770      -26.918      140.687  8503.2
0.2370          113.563      -27.738      141.301  8540.3
0.2380          112.548      -29.338      141.886  8575.7
0.2390          112.060      -30.976      143.036  8645.1
0.2400          111.643      -32.452      144.095  8709.1
0.2410          111.108      -33.818      144.926  8759.3
0.2420          110.697      -35.107      145.804  8812.4
0.2430          110.134      -36.309      146.443  8851.1
0.2440          109.623      -37.400      147.023  8886.1
0.2450          109.033      -38.347      147.380  8907.7
0.2460          108.653      -39.117      147.770  8931.2
0.2470          108.059      -39.681      147.741  8929.5
0.2480          107.619      -40.016      147.635  8923.1
0.2490          106.904      -40.112      147.016  8885.7
0.2500          106.505      -40.025      146.530  8856.3
0.2510          105.667      -39.874      145.541  8796.5
0.2520          104.980      -39.822      144.802  8751.9
0.2530          104.232      -40.039      144.270  8719.7
0.2540          103.572      -40.585      144.156  8712.8
0.2550          103.079      -41.111      144.190  8714.9
0.2560          102.490      -41.272      143.763  8689.0
0.2570          101.987      -41.760      143.747  8688.1
0.2580          101.482      -43.360      144.841  8754.2
0.2590          100.793      -45.331      146.124  8831.8
0.2600          100.319      -46.750      147.069  8888.9
0.2610           99.597      -47.426      147.022  8886.1
0.2620           99.223      -47.502      146.725  8868.1
0.2630           98.417      -47.076      145.493  8793.6
0.2640           97.919      -45.505      143.424  8668.6
0.2650           97.890      -43.615      141.505  8552.6
0.2660           97.110      -45.229      142.338  8603.0
0.2670           96.488      -48.598      145.087  8769.1
0.2680           96.005      -51.133      147.137  8893.0
0.2690           95.403      -52.248      147.651  8924.1
0.2700           95.228      -52.731      147.959  8942.7
0.2710           94.710      -53.169      147.879  8937.8
0.2720           94.022      -53.531      147.553  8918.1
0.2730           93.672      -53.583      147.255  8900.1
0.2740           93.067      -53.212      146.278  8841.1
0.2750           92.553      -52.564      145.117  8770.9
0.2760           91.728      -51.970      143.698  8685.1
0.2770           91.163      -51.727      142.890  8636.3
0.2780           90.512      -51.946      142.458  8610.2
0.2790           90.163      -52.485      142.649  8621.7
0.2800           89.740      -53.128      142.869  8635.0
0.2810           89.311      -53.833      143.144  8651.7
0.2820           88.849      -54.418      143.267  8659.1
0.2830           87.996      -53.645      141.641  8560.8
0.2840           86.747      -47.030      133.777  8085.5
0.2850           89.539      -34.520      124.059  7498.2
0.2860           86.159      -46.040      132.199  7990.2
